ORIGIN_AIRPORT,DESTINATION_AIRPORT,route_delay_rate
10135,10397,0.1568627450980392
10135,11433,0.16279069767441862
10135,13930,0.2
10136,11298,0.09482758620689655
10140,10397,0.09433962264150944
10140,10821,0.1388888888888889
10140,11259,0.17857142857142858
10140,11292,0.2
10140,11298,0.04716981132075472
10140,12191,0.0784313725490196
10140,12266,0.02631578947368421
10140,12478,0.4444444444444444
10140,12889,0.14492753623188406
10140,12892,0.14705882352941177
10140,13198,0.4444444444444444
10140,13232,0.08333333333333333
10140,13487,0.16666666666666666
10140,13796,0.06382978723404255
10140,13930,0.058823529411764705
10140,14057,0.0
10140,14107,0.1941747572815534
10140,14679,0.06060606060606061
10140,14747,0.0
10140,14771,0.05555555555555555
10140,14869,0.0
10141,13487,0.10526315789473684
10146,10397,0.14
10154,10721,0.2857142857142857
10154,12478,0.42857142857142855
10155,11298,0.011627906976744186
10157,14771,0.20588235294117646
10158,10397,0.0
10158,11697,0.08333333333333333
10158,13204,0.1111111111111111
10158,13577,0.0
10158,14635,0.2222222222222222
10158,15304,0.1111111111111111
10165,10299,0.8333333333333334
10170,10299,0.125
10185,10397,0.10606060606060606
10185,11298,0.0392156862745098
10185,12266,0.12244897959183673
10208,10397,0.12030075187969924
10257,10397,0.09803921568627451
10257,10821,0.0784313725490196
10257,11057,0.10638297872340426
10257,11433,0.03125
10257,11618,0.42105263157894735
10257,12889,0.1111111111111111
10257,13204,0.0
10257,13232,0.0
10257,13487,0.05555555555555555
10257,13930,0.06666666666666667
10257,15304,0.05555555555555555
10268,13930,0.0
10279,11259,0.06060606060606061
10279,11292,0.04
10279,11298,0.041666666666666664
10279,12266,0.058823529411764705
10279,12889,0.16666666666666666
10299,10165,0.16666666666666666
10299,10170,0.1875
10299,10551,0.08333333333333333
10299,10754,0.0
10299,10926,0.05555555555555555
10299,11292,0.05555555555555555
10299,11298,0.0
10299,11630,0.3333333333333333
10299,12173,0.0
10299,12523,0.13725490196078433
10299,12892,0.05555555555555555
10299,13487,0.0
10299,13873,0.21052631578947367
10299,13930,0.06060606060606061
10299,13970,0.0625
10299,14057,0.16666666666666666
10299,14107,0.11764705882352941
10299,14709,0.1111111111111111
10299,14747,0.16838487972508592
10333,11433,0.13333333333333333
10372,11292,0.14285714285714285
10372,12892,0.0
10397,10135,0.16
10397,10140,0.05660377358490566
10397,10146,0.2549019607843137
10397,10158,0.2222222222222222
10397,10185,0.15151515151515152
10397,10208,0.12030075187969924
10397,10257,0.09803921568627451
10397,10408,0.15789473684210525
10397,10423,0.07471264367816093
10397,10431,0.14606741573033707
10397,10434,0.16666666666666666
10397,10529,0.05128205128205128
10397,10599,0.05913978494623656
10397,10685,0.11764705882352941
10397,10693,0.06382978723404255
10397,10721,0.08791208791208792
10397,10731,0.21568627450980393
10397,10781,0.15671641791044777
10397,10785,0.2222222222222222
10397,10792,0.04597701149425287
10397,10821,0.10746268656716418
10397,10868,0.07874015748031496
10397,10874,0.06862745098039216
10397,10980,0.10559006211180125
10397,10990,0.09803921568627451
10397,10994,0.043243243243243246
10397,11003,0.15625
10397,11042,0.11377245508982035
10397,11057,0.11730205278592376
10397,11066,0.03508771929824561
10397,11109,0.1111111111111111
10397,11146,0.10975609756097561
10397,11150,0.24615384615384617
10397,11193,0.0425531914893617
10397,11252,0.043478260869565216
10397,11259,0.06172839506172839
10397,11267,0.10294117647058823
10397,11278,0.09686609686609686
10397,11292,0.06315789473684211
10397,11298,0.07046070460704607
10397,11308,0.11594202898550725
10397,11423,0.06
10397,11433,0.1417624521072797
10397,11481,0.009345794392523364
10397,11540,0.058823529411764705
10397,11612,0.1568627450980392
10397,11617,0.15625
10397,11618,0.12962962962962962
10397,11624,0.09722222222222222
10397,11641,0.09195402298850575
10397,11697,0.1486146095717884
10397,11721,0.11764705882352941
10397,11775,0.0
10397,11778,0.1388888888888889
10397,11823,0.06060606060606061
10397,11953,0.1568627450980392
10397,11973,0.043478260869565216
10397,11977,0.21052631578947367
10397,11982,0.0
10397,11986,0.07692307692307693
10397,11995,0.041666666666666664
10397,11996,0.05925925925925926
10397,12007,0.11764705882352941
10397,12173,0.0
10397,12191,0.07009345794392523
10397,12197,0.3181818181818182
10397,12217,0.0547945205479452
10397,12264,0.07575757575757576
10397,12266,0.13191489361702127
10397,12278,0.07407407407407407
10397,12323,0.14942528735632185
10397,12339,0.11267605633802817
10397,12448,0.025
10397,12451,0.08070175438596491
10397,12478,0.1588785046728972
10397,12889,0.10843373493975904
10397,12892,0.04833836858006042
10397,12945,0.11940298507462686
10397,12951,0.13043478260869565
10397,12953,0.0641025641025641
10397,12992,0.009523809523809525
10397,13029,0.2222222222222222
10397,13198,0.05291005291005291
10397,13204,0.13228699551569506
10397,13230,0.09803921568627451
10397,13232,0.09774436090225563
10397,13244,0.05263157894736842
10397,13277,0.09302325581395349
10397,13296,0.058823529411764705
10397,13303,0.08992805755395683
10397,13342,0.08928571428571429
10397,13360,0.07246376811594203
10397,13367,0.16666666666666666
10397,13377,0.06349206349206349
10397,13422,0.08108108108108109
10397,13485,0.0196078431372549
10397,13487,0.05639097744360902
10397,13495,0.08116883116883117
10397,13577,0.09523809523809523
10397,13795,0.16666666666666666
10397,13851,0.03418803418803419
10397,13871,0.034482758620689655
10397,13930,0.13711583924349882
10397,13931,0.0784313725490196
10397,14027,0.125
10397,14057,0.0392156862745098
10397,14098,0.16666666666666666
10397,14100,0.1544943820224719
10397,14107,0.0663265306122449
10397,14108,0.26
10397,14122,0.06521739130434782
10397,14193,0.08333333333333333
10397,14307,0.02
10397,14321,0.0784313725490196
10397,14492,0.10256410256410256
10397,14524,0.09595959595959595
10397,14574,0.09523809523809523
10397,14576,0.0784313725490196
10397,14633,0.058823529411764705
10397,14635,0.09595959595959595
10397,14679,0.02857142857142857
10397,14683,0.07051282051282051
10397,14685,0.05789473684210526
10397,14696,0.0
10397,14730,0.0915032679738562
10397,14747,0.057692307692307696
10397,14771,0.05813953488372093
10397,14783,0.19718309859154928
10397,14814,0.1
10397,14831,0.0
10397,14843,0.1
10397,14869,0.028169014084507043
10397,14893,0.030303030303030304
10397,14908,0.0
10397,14986,0.0380952380952381
10397,15016,0.10416666666666667
10397,15024,0.09523809523809523
10397,15096,0.1568627450980392
10397,15249,0.09401709401709402
10397,15304,0.11811023622047244
10397,15323,0.06315789473684211
10397,15356,0.2777777777777778
10397,15370,0.037037037037037035
10397,15376,0.027777777777777776
10397,15412,0.05
10397,15607,0.1568627450980392
10397,15624,0.04878048780487805
10397,15919,0.1111111111111111
10408,10397,0.10526315789473684
10408,11433,0.16666666666666666
10408,13487,0.0625
10408,13930,0.2
10423,10397,0.040229885057471264
10423,10693,0.15151515151515152
10423,10721,0.2777777777777778
10423,10821,0.1111111111111111
10423,11057,0.0851063829787234
10423,11259,0.10975609756097561
10423,11278,0.2222222222222222
10423,11292,0.06097560975609756
10423,11298,0.06827309236947791
10423,11433,0.05555555555555555
10423,11540,0.044444444444444446
